trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-176.06087203446367,"{0: 16, 1: 3, 2: 6, 3: 4, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-101.56805526578988,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-73.1283641919257,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-140.10607733215858,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,12,-23.817578040752785,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-61.866803124890936,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-70.10058601244002,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-133.7077998072344,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-131.52527089445084,"{0: 18, 1: 0, 2: 11, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-164.46059556941256,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-70.95844085433187,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-165.0663667350475,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-204.28824556887466,"{0: 18, 1: 0, 2: 8, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,9,-27.139631773333164,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-223.47399702700818,"{0: 10, 1: 1, 2: 11, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-193.54910629190496,"{0: 15, 1: 0, 2: 13, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-54.33846163534758,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-135.55671504377955,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-44.796564337354106,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,12,-148.74345864038045,"{0: 13, 1: 0, 2: 8, 3: 0, 4: 2}",1
1,True,"{'a': 0, 'e': 0}",25,0,-210.4985754733193,"{0: 12, 1: 0, 2: 10, 3: 0, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",25,0,-213.0879867295748,"{0: 12, 1: 0, 2: 10, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",25,0,-333.4417018374492,"{0: 9, 1: 0, 2: 10, 3: 0, 4: 6}",0
4,True,"{'a': 0, 'e': 0}",30,0,-104.53210594082314,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",30,0,-280.72850869550973,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 5}",0
6,True,"{'a': 0, 'e': 0}",20,0,-144.50992484748932,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-147.8215160296709,"{0: 12, 1: 0, 2: 12, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",30,0,-206.81849525316287,"{0: 17, 1: 0, 2: 10, 3: 0, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",25,0,-86.63236409652346,"{0: 16, 1: 0, 2: 8, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,8,-133.96639159910268,"{0: 4, 1: 0, 2: 6, 3: 0, 4: 2}",1
