trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.55, 'e': 0.9900498337491681}",20,8,-90.87070264222653,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 2}",1
2,False,"{'a': 0.55, 'e': 0.9801986733067553}",25,5,-123.8279123636925,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",1
3,False,"{'a': 0.55, 'e': 0.9704455335485082}",25,0,-137.71184865846487,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
4,False,"{'a': 0.55, 'e': 0.9607894391523232}",20,0,-49.37858203058833,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.55, 'e': 0.951229424500714}",20,0,-152.90781570221498,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.55, 'e': 0.9417645335842487}",20,0,-114.59521404327373,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.55, 'e': 0.9323938199059483}",20,9,-72.82534473955562,"{0: 5, 1: 2, 2: 3, 3: 0, 4: 1}",1
8,False,"{'a': 0.55, 'e': 0.9231163463866358}",25,0,-207.89028243814164,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
9,False,"{'a': 0.55, 'e': 0.9139311852712282}",20,0,-33.773965479669506,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.55, 'e': 0.9048374180359595}",20,2,-124.86116875175978,"{0: 8, 1: 1, 2: 7, 3: 1, 4: 1}",1
11,False,"{'a': 0.55, 'e': 0.8958341352965282}",25,0,-112.58431586147944,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.55, 'e': 0.8869204367171575}",25,0,-74.74690253529495,"{0: 18, 1: 1, 2: 3, 3: 3, 4: 0}",0
13,False,"{'a': 0.55, 'e': 0.8780954309205613}",20,0,-52.52897080341849,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.55, 'e': 0.8693582353988059}",30,0,-240.57409382341638,"{0: 15, 1: 3, 2: 6, 3: 3, 4: 3}",0
15,False,"{'a': 0.55, 'e': 0.8607079764250578}",20,0,-97.57540337398531,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
16,False,"{'a': 0.55, 'e': 0.8521437889662113}",25,0,-227.59311605815432,"{0: 15, 1: 0, 2: 4, 3: 2, 4: 4}",0
17,False,"{'a': 0.55, 'e': 0.8436648165963837}",20,0,-116.81079229467686,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.55, 'e': 0.835270211411272}",25,0,-142.72148021233556,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.55, 'e': 0.8269591339433623}",25,0,-124.0518442035996,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
20,False,"{'a': 0.55, 'e': 0.8187307530779818}",30,12,-65.4818886670191,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 0}",1
21,False,"{'a': 0.55, 'e': 0.8105842459701871}",20,12,-37.94653932043819,"{0: 4, 1: 1, 2: 2, 3: 1, 4: 0}",1
22,False,"{'a': 0.55, 'e': 0.8025187979624785}",20,16,8.609977434056473,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.55, 'e': 0.794533602503334}",30,0,-73.29750926183358,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 0}",0
24,False,"{'a': 0.55, 'e': 0.7866278610665535}",20,0,-63.17714747497784,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
25,False,"{'a': 0.55, 'e': 0.7788007830714049}",25,0,-105.84184128849597,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
26,False,"{'a': 0.55, 'e': 0.7710515858035663}",20,0,-94.65194120784528,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
27,False,"{'a': 0.55, 'e': 0.7633794943368531}",20,0,-93.74313609417031,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
28,False,"{'a': 0.55, 'e': 0.7557837414557255}",25,0,-125.3529432853178,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
29,False,"{'a': 0.55, 'e': 0.7482635675785653}",25,0,-172.89811864584948,"{0: 14, 1: 0, 2: 7, 3: 2, 4: 2}",0
30,False,"{'a': 0.55, 'e': 0.7408182206817179}",25,0,-92.181062220795,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
31,False,"{'a': 0.55, 'e': 0.7334469562242892}",20,0,-87.1203301533257,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
32,False,"{'a': 0.55, 'e': 0.7261490370736909}",25,5,-72.98349269729599,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",1
33,False,"{'a': 0.55, 'e': 0.7189237334319262}",20,0,-107.27414556545652,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
34,False,"{'a': 0.55, 'e': 0.7117703227626097}",25,7,-69.44684126814107,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 1}",1
35,False,"{'a': 0.55, 'e': 0.7046880897187134}",30,0,-99.89138804046317,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
36,False,"{'a': 0.55, 'e': 0.697676326071031}",20,0,-170.31257474442475,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 4}",0
37,False,"{'a': 0.55, 'e': 0.6907343306373547}",30,19,-44.44051916677143,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
38,False,"{'a': 0.55, 'e': 0.6838614092123558}",20,0,-79.53060975299921,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
39,False,"{'a': 0.55, 'e': 0.6770568744981647}",25,13,-88.15025730834412,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 2}",1
40,False,"{'a': 0.55, 'e': 0.6703200460356393}",25,1,-77.29114239531029,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 0}",1
41,False,"{'a': 0.55, 'e': 0.6636502501363194}",25,14,-79.51077482618754,"{0: 5, 1: 0, 2: 5, 3: 0, 4: 1}",1
42,False,"{'a': 0.55, 'e': 0.6570468198150567}",30,0,-69.1184530781234,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 0}",0
43,False,"{'a': 0.55, 'e': 0.6505090947233165}",20,2,-67.80073711532694,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
44,False,"{'a': 0.55, 'e': 0.6440364210831414}",20,3,-83.03937639598041,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 1}",1
45,False,"{'a': 0.55, 'e': 0.6376281516217733}",30,0,-277.10530171572447,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 5}",0
46,False,"{'a': 0.55, 'e': 0.631283645506926}",25,13,-28.69669016528411,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
47,False,"{'a': 0.55, 'e': 0.6250022682827008}",20,0,-71.17128363881609,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
48,False,"{'a': 0.55, 'e': 0.6187833918061408}",25,0,-145.9475978673869,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
49,False,"{'a': 0.55, 'e': 0.6126263941844161}",25,0,-189.19748553436474,"{0: 11, 1: 1, 2: 10, 3: 1, 4: 2}",0
50,False,"{'a': 0.55, 'e': 0.6065306597126334}",30,13,-107.49299847942108,"{0: 8, 1: 2, 2: 5, 3: 1, 4: 1}",1
51,False,"{'a': 0.55, 'e': 0.6004955788122659}",20,0,-222.47095505304506,"{0: 10, 1: 1, 2: 3, 3: 2, 4: 4}",0
52,False,"{'a': 0.55, 'e': 0.5945205479701944}",20,0,-163.18513218433526,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
53,False,"{'a': 0.55, 'e': 0.5886049696783552}",20,8,-11.756370327197246,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.55, 'e': 0.5827482523739896}",20,0,-139.93386680099096,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
55,False,"{'a': 0.55, 'e': 0.5769498103804866}",25,8,-63.07746779874832,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
56,False,"{'a': 0.55, 'e': 0.5712090638488149}",20,0,-71.1734570962865,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
57,False,"{'a': 0.55, 'e': 0.5655254386995371}",30,11,-54.60607510989758,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
58,False,"{'a': 0.55, 'e': 0.559898366565402}",20,0,-124.55739037825134,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
59,False,"{'a': 0.55, 'e': 0.5543272847345071}",20,7,-27.127451926504623,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
60,False,"{'a': 0.55, 'e': 0.5488116360940265}",20,0,-64.82173405149432,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
61,False,"{'a': 0.55, 'e': 0.5433508690744998}",20,14,12.695292586821022,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.55, 'e': 0.5379444375946745}",30,11,-152.23048986364572,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 4}",1
63,False,"{'a': 0.55, 'e': 0.5325918010068972}",25,0,-187.5585360296956,"{0: 13, 1: 1, 2: 6, 3: 3, 4: 2}",0
64,False,"{'a': 0.55, 'e': 0.5272924240430485}",20,0,-64.14794993571438,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",0
65,False,"{'a': 0.55, 'e': 0.522045776761016}",30,17,-40.14453048261394,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 0}",1
