trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,0,-271.63114636809206,"{0: 18, 1: 1, 2: 11, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-175.02296188784513,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-31.821314814788487,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-139.8250011767218,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-183.11674451455968,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-96.12895368004786,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-145.990441598053,"{0: 14, 1: 4, 2: 10, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,12,-79.01302918516762,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-67.27033220001523,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-111.95708063601825,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,0,-152.72180145584198,"{0: 20, 1: 2, 2: 11, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-177.12078668383413,"{0: 10, 1: 5, 2: 6, 3: 3, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-239.04454170892072,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-83.08555470817056,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-88.75260197360521,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-122.52687331071692,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-196.43020501920174,"{0: 13, 1: 5, 2: 9, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,4,-105.82670406245248,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-80.20482994355798,"{0: 21, 1: 1, 2: 6, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-50.39221347105826,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-115.23389697068814,"{0: 10, 1: 5, 2: 10, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-117.99637225897635,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-52.666953818086434,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,1,-67.57772593623011,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,0,-102.56169740524203,"{0: 8, 1: 4, 2: 7, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-22.959827969674343,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,0,-239.54943561188432,"{0: 17, 1: 0, 2: 8, 3: 1, 4: 4}",0
8,True,"{'a': 0, 'e': 0}",25,0,-150.65956236432777,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-151.24830873902022,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",25,0,-89.84640060899875,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
